SMILES T P density einter compress
CCCC(O)(C)C 232 750 8.960e-01 -5.787e+01 2.763e-05
CCC(C(O)C)C 280 1 8.305e-01 -5.499e+01 7.749e-05
CCC(C(O)C)C 311 50 8.047e-01 -5.021e+01 9.082e-05
CCC(C(O)C)C 432 50 6.799e-01 -3.479e+01 3.649e-04
CCC(C(O)C)C 280 100 8.368e-01 -5.520e+01 6.853e-05
CCC(C(C)C)O 365 1 7.360e-01 -4.042e+01 1.633e-04
CCC(C(C)C)O 250 50 8.521e-01 -5.685e+01 5.581e-05
CCC(C(C)C)O 422 50 6.813e-01 -3.458e+01 3.508e-04
CCC(C(C)C)O 307 100 8.058e-01 -4.958e+01 8.020e-05
CCC(C(C)C)O 250 500 8.698e-01 -5.776e+01 4.018e-05
CCC(C(C)C)O 279 750 8.611e-01 -5.512e+01 4.656e-05
CCC(CC)(O)C 408 100 7.071e-01 -3.467e+01 2.303e-04
CCC(CC)(O)C 461 100 6.505e-01 -3.001e+01 4.681e-04
CCC(CC)(O)C 381 250 7.506e-01 -3.833e+01 1.643e-04
CCC(CC)(O)C 461 250 6.786e-01 -3.161e+01 2.542e-04
CCC(CC)(O)C 408 1000 7.860e-01 -3.973e+01 8.251e-05
CCC(CO)CC 384 1 7.405e-01 -4.357e+01 1.733e-04
CCC(CO)CC 424 1 6.947e-01 -3.853e+01 3.196e-04
CCC(CO)CC 424 500 7.524e-01 -4.232e+01 1.306e-04
CCC(CO)CC 304 750 8.537e-01 -5.685e+01 4.895e-05
CCC(CO)CC 304 1000 8.643e-01 -5.759e+01 4.222e-05
CCC(CO)(C)C 345 50 7.706e-01 -4.443e+01 1.279e-04
CCC(CO)(C)C 408 50 7.110e-01 -3.730e+01 2.200e-04
OCC(C(C)C)C 381 50 7.490e-01 -4.409e+01 1.625e-04
OCCC(C)(C)C 238 50 8.618e-01 -6.001e+01 4.524e-05
OCCC(C)(C)C 371 50 7.604e-01 -4.630e+01 1.380e-04
OCCC(C)(C)C 437 50 6.975e-01 -3.871e+01 2.504e-04
OCCC(C)(C)C 304 250 8.290e-01 -5.500e+01 7.185e-05
OCCC(C)(C)C 470 500 7.254e-01 -3.893e+01 1.566e-04
OCCC(C)(C)C 271 750 8.721e-01 -5.903e+01 4.123e-05
OCCC(C)(C)C 304 1000 8.653e-01 -5.727e+01 4.113e-05
CC(C(O)(C)C)C 288 50 8.258e-01 -4.887e+01 7.957e-05
CC(C(O)(C)C)C 404 250 7.333e-01 -3.610e+01 1.691e-04
CC(C(O)(C)C)C 358 750 8.088e-01 -4.308e+01 8.005e-05
CC(C(O)(C)C)C 381 750 7.918e-01 -4.089e+01 7.716e-05
CC(C(C)(C)C)O 303 1 8.042e-01 -4.694e+01 8.829e-05
CC(C(C)(C)C)O 303 250 8.206e-01 -4.786e+01 7.744e-05
CC(C(C)(C)C)O 389 250 7.425e-01 -3.754e+01 1.528e-04
CC(C(C)(C)C)O 410 1000 7.854e-01 -3.954e+01 7.280e-05
CCCC[C@H](O)C 435 100 6.931e-01 -3.849e+01 2.383e-04
CCCC[C@H](O)C 404 250 7.413e-01 -4.318e+01 1.473e-04
CCCC[C@H](O)C 435 250 7.147e-01 -3.995e+01 1.790e-04
CCCC[C@H](O)C 312 750 8.451e-01 -5.683e+01 5.327e-05
CCC[C@@H](CC)O 435 1 6.638e-01 -3.526e+01 4.022e-04
CCC[C@@H](CC)O 281 500 8.565e-01 -5.955e+01 4.102e-05
CCCC[C@@H](O)C 435 50 6.846e-01 -3.791e+01 3.183e-04
CCCC[C@@H](O)C 466 100 6.605e-01 -3.518e+01 3.778e-04
CC1(O)CCCCC1 356 100 8.746e-01 -4.704e+01 8.773e-05
C[C@@H]1CCCC[C@@H]1O 411 1 7.965e-01 -3.963e+01 1.867e-04
C[C@@H]1CCCC[C@@H]1O 385 50 8.315e-01 -4.301e+01 1.367e-04
C[C@@H]1CCCC[C@@H]1O 305 500 9.354e-01 -5.409e+01 4.294e-05
C[C@@H]1CCCC[C@@H]1O 358 750 9.064e-01 -4.965e+01 7.315e-05
